[12:18:35] [main/INFO]: ModLauncher running: args [--username, Foxiallis, --version, Traveller's Wonders, --gameDir, C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders, --assetsDir, C:\Users\Nevermore\AppData\Roaming\.minecraft\assets, --assetIndex, 1.19, --uuid, 600632b4bac5494ea55213b0d0fc2ebd, --accessToken, ????????, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, mojang, --versionType, release, --width, 925, --height, 530, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.11, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853, -XX:+UseShenandoahGC, -XX:+AggressiveOpts, -XX:+UnlockExperimentalVMOptions, -XX:+AlwaysPreTouch, -XX:+UseStringDeduplication, -Dfml.ignorePatchDiscrepancies=true, -Dfml.ignoreInvalidMinecraftCertificates=true, -XX:-OmitStackTraceInFastThrow, -XX:+OptimizeStringConcat, -Dfml.readTimeout=180, -XX:+UseFastAccessorMethods, -Dsun.rmi.dgc.server.gcInterval=2147483646, -XX:G1NewSizePercent=20, -XX:G1ReservePercent=20, -XX:MaxGCPauseMillis=50, -XX:G1HeapRegionSize=32M]
[12:18:35] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[12:18:37] [main/INFO]: Found mod file alloyed-1.19.2-v1.5.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file allurement-1.19.2-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file almostunified-forge-1.19.2-0.4.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Apotheosis-1.19.2-6.1.5.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file aquamirae-6.API15.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file architectury-6.5.82-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ars_artifice-1.19.2-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ars_creo-1.19.2-3.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ars_elemental-1.19.2-0.5.9.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ars_instrumentum-1.19.2-3.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ars_nouveau-1.19.2-3.13.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file arsarmiger-1.19.2-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file art_of_forging-1.6.4-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file atmospheric-1.19.2-5.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file autumnity-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.7.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file blueprint-1.19.2-6.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.2.18.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file born_in_chaos_1.19_1.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Botania-1.19.2-438-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file botarium-forge-1.19.2-1.8.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file buzzier_bees-1.19-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file caelus-forge-1.19.2-3.0.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file catalogue-1.7.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file citadel-2.1.3-1.19.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Clumps-forge-1.19.2-9.0.0+14.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file CNB-1.19-1.5.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file cofh_core-1.19.2-10.2.1.40.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file configured-2.1.1-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file create-1.19.2-0.5.0.i.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file create_crystal_clear-0.1.2e-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file create_enchantment_industry-1.19.2-for-create-0.5.0.i-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file create_misc_and_things_1.19.2_2.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file createaddition-1.19.2-20230507a.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file createbigcannons-1.19.2-beta-0.5.b.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file createdeco-1.3.2-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file createendertransmission-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file creeperoverhaul-2.0.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file crittersandcompanions-1.19.2-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file cullleaves-forge-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file DarkerDepths-1.19.2-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file deeperdarker-forge-1.1.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Delightful-1.19.2-3.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file do-a-barrel-roll-2.6.2+1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Droplight-1.19.2-forge-1.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file dummmmmmy-1.19.2-1.7.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ecologics-forge-1.19.2-2.1.11.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file effortlessbuilding-1.19.2-3.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file endersdelight-1.19-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file engineersdecor-1.19.2-forge-1.3.28.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file EnigmaticLegacy-2.26.5.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ensorcellation-1.19.2-4.2.0.14.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file entityculling-forge-1.6.1-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file environmental-1.19.2-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ExplorersCompass-1.19.2-1.3.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file explorify-forge-1.19-1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file extendedflywheels-1.2.5-1.19.2-0.5.f.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file extendedgears-2.0.2-1.19.2-0.5.0.iforge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file fairylights-6.0.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file FarmersDelight-1.19-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Fastload-Reforged-2.6.9+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file flywheel-forge-1.19.2-0.6.8.a.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ForgeEndertech-1.19.2-10.0.6.0-build.0865.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file FriendlyFire-Forge-1.19.2-14.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ftb-chunks-forge-1902.3.21-build.266.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ftb-essentials-forge-1902.3.1-build.75.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ftb-library-forge-1902.3.18-build.208.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ftb-teams-forge-1902.2.13-build.100.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ftb-ultimine-forge-1902.4.0-build.77.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ftbbackups2-forge-1.19.2-1.0.18.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file GatewaysToEternity-1.19.2-3.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file goblintraders-1.8.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file handcrafted-forge-1.19.2-2.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file hexal-forge-1.19.2-0.2.14.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file hexcasting-forge-1.19.2-0.10.3.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Iceberg-1.19.2-forge-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file illageandspillage-1.19.2-1.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file immersive_armors-1.5.5+1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ImmersiveEngineering-1.19.2-9.2.2-165.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file ImmersivePosts-1.19.2-4.3.0-6.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Items-to-Mobs-1.19.2-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file Jade-1.19.1-forge-8.8.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file JadeAddons-1.19.2-forge-3.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1015.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file JustEnoughResources-1.19.2-1.1.0.179.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kotlinforforge-3.12.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kube-utils-forge-1.0.2+mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kubejs-create-forge-1902.1.1-build.35.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kubejs-forge-1902.6.0-build.142.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kubejs-immersive-engineering-1902.2.2-build.40.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kubejs_botania-1.0.4-fix2-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kubejsadditions-3.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file kubejsarsnoveau-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file L_Enders_Cataclysm-0.84-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file labels-1.19.2-1.9.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file LegendaryTooltips-1.19.2-forge-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file loot_journal-2.1.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file LootBag-1.19.2-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file lootjs-forge-1.19.2-2.8.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file lootr-1.19-0.4.23.60.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file memoryleakfix-forge-1.17+-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file modonomicon-1.19.2-1.30.2.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file moonlight-1.19.2-2.2.32-forge.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file MouseTweaks-forge-mc1.19-2.23.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
[12:18:37] [main/INFO]: Found mod file mutil-1.19.2-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Nevermore\AppData\Roaming\.minecraft\versions\Traveller's Wonders\mods}
